黄油化了额,就就就……就有机会去打卡
minyellow,我一直好奇这个青少年模式的内容界定来着……
布鲁诺布加拉提不起精神,:也算是写给当初因为战成认识的网友们，也许有些看不下去我首页早就取关了吧。一边说着“是制口度的问题你们怎么不怪制口度”一边又说着“就是因为不符合制口度才会被墙理所应当”，你们对制口度到底赞同不赞同请先统一口径吧？除了数不清的被割掉切身利益的人，这么多不使用ao3的也参与进来是为什么：今天墙的是ao3你不出来说话，明天这把刀砍到你头上的时候也没有人帮你说话。明明都是一条绳上的蚂蚱，自己也是看同人的人，难道不明白知道大家愤怒和恐慌的点在哪里吗？因为是朋友我知道人很好我非常舍不得双向，但就算是朋友我也看不下去这样颠倒是非，但我也不想争论了，发自己首页吧，能明白的早就明白了。要不是真的被割了肉有多少人有精力管这事呢，大家真的在乎肖战多少黑料吗，自家车被楼上扔花盆砸烂了你会在乎他以前还扔过几个花盆吗？是啊高楼坠物也查不到是哪一层扔的，那就只好整栋楼一起赔偿。肖战就算糊了也于事无补，这是做错了事带来的恶果，早就超出粉圈“黑”与“被黑”的概念。现在我看到他工作室一边为占用公共资源道歉一边买官媒下场，工作室出面肖战作为老板不可能脱开关系，原本可以止损，工作室却不以为意添柴加火，演变到这个局面他并不无辜。凤凰网作为媒体报道新闻大事件有何不妥？我看至少比被收买的蓝v妥。
正在沉寂中变态,:认真的吗。。那些口径完全一致的微博留言。。点进去看。。。全都是相关明星粉丝，拿明星大头当微博背景的那种
观颐斋,:#文化宅生活图鉴##茶器#【观颐】斗彩描金缠枝花纹碗现藏于北京故宫，清咸丰，高5.8厘米，口径10.5厘米，足径4.8厘米。　碗撇口，深弧腹，圈足。碗内外及圈足内均施白釉。碗内光素无纹饰，外壁以斗彩描金装饰。近口沿处绘变形回纹，腹部绘缠枝花纹，近足处绘如意头纹，圈足外墙画青花双弦线。外底署矾红彩楷书体“大清咸丰年制”双行六字款。　此碗在施彩技法方面独具特色，即外壁六朵花均循青花轮廓线再勾描金彩，金彩的使用协调了各种彩料之间的关系，避免了不同色彩之间的对比过于强烈，使画面显得柔和悦目。@微博收藏
飞向群星,#俄罗斯军事#【俄军狙击训练射击硬币大小目标】根据俄西部军区消息，来自近卫坦克部队的俄军狙击手进行了独特的狙击训练，狙击手小组到达阿拉比诺训练场，他们面临最艰巨的任务是在800米的距离上击中硬币大小的目标。
兵子聊宅,:【百强房企2月销售额环比降逾四成】机构数据显示，2月份百强房企单月全口径销售金额3243.3亿元，环比降低43.8%，同比降低37.9%，创下近年来单月销售额最低纪录。
知能大成,我们希望世界将团结起来，共同对应我们面临的这个极具挑战的公共卫生问题。我们希望每一个掌握信息的国家——包括中国——将完全公开和透明。现在这是一个全球规模的问题，非常需要每一个国家都以一种符合为全球公民降低风险的方式采取行动。蓬佩奥国务卿@美国驻沪总领事馆@美国驻广州总领事馆@美国驻成都总领事馆@美国驻武汉总领事馆@沈阳美国领事馆@美国驻沈阳总领馆签证处@美国使馆签证处
大西小瓜啦啦啦,:口径一致的用同种理由来反对一个人，并且没有理智的不听解释也不自己分析同时指责别人才是如此，是你吗？
juicydorina,:一觉醒来变天了。美联储被新冠病毒吓到直接降息50个点。美元垮了，十年期美债收益率跌破1%。可能是美联储太反常了，美股不但没嗨，反倒被吓个大跌，纳斯达克直接跌了3%。然后另一边，美国CDC说不用戴口罩？？？美帝这些机构到底能不能统一一下口径😂。看来故事在我们这边快结束了，外面的世界才刚刚开始。
中国台湾网,:【民进党当局说不明白的“口罩政策”！唐湘龙硬核喊话：跟大陆学学】新冠疫情防疫的关键时期，民进党当局却还在为戴不戴口罩、什么场合戴口罩、什么人需要戴口罩等问题纠结不清。面对蔡当局自己人都口径不一的“口罩政策”，岛内媒体人唐湘龙直言，大陆有很多经验是台湾可以借鉴的。#台头闻#http://t.cn/A67OMC3z
风一样的汉子呀,:#肖战ins头像#看着条热搜下，人均业内，请统一口径，一部分人说人家买热搜，一部分说人家压热搜到底是买还是压，你从哪知道的，无语，都不上网课的吗，这么闲！！！
爱君家政连锁官方微博,:上海家政人员在疫情期间具备这些证明即可上门！根据社区疫情防控的新态势，上海市进一步优化了社区疫情防控的操作口径。目前，结合推广使用“健康随申码”，明确家政员、护理员等服务人员，水、电、气、通讯等公用事业设施维修人员，符合一定条件的——能够出示“健康随申码”绿码，体温测量正常，已做好登记，服务人员已经相关居民同意——应允许进入小区。此外，为解决返沪人员的居住问题，明确了在租约期内且体温正常的返沪人员可以正常入住，如因房东不愿续租导致居住无着的，由居村委会出面协调，或由各区安排辖区内的住宿资源予以过渡，单位或个人承担一定费用。针对部分跨省司乘人员，明确了执行湖北省包机任务的机组人员，在确保安全的前提下——做好个人防护、遵守不接触原则、完成航空器消毒等——任务完成后无需进行医学隔离观察；短期向疫情重点区域运送物资的司机、装卸工等保障人员，原则上可不需采取隔离14天的措施。
最美的风景在你心里,:粉圈幼稚行为是普遍存在的问题，但是更需要关注的是虚拟网上群体问题。看客是否关注到此次反肖战行动也迅速成立了超话组织“227历史时刻”，超话成员28万！短短5天内，28万人统一行动，在超话内形成行动方案，应对口径，超话主持人就是民选的领袖。为什么幼稚行为的杀伤力会如此巨大，因为有组织的幼稚行为，是摧枯拉朽的。肖战超话的粉丝恶意举报，党同伐异227历史时刻超话一样无所不用其极。唯一不同的，是肖战超话有“肖战”存在，227历史时刻超话没有“227”这个人。肖战何其无辜！#肖战##抵制肖战#
西安新浪乐居,:【百强房企2月销售环比跌去4成，仅7家单月卖房过百亿】2月，百强房企全口径销售额3243.3亿元，环比降低43.8%，同比降低37.9%。房企在今年2月的销售业绩创下近几年来单月销售最低记录。不过随着各地售楼部的逐步开放，房企3月份的销售有望逐步回归正常。http://t.cn/A67OGIbO
西安新浪乐居,:【百强房企2月销售环比跌去4成，仅7家单月卖房过百亿】2月，百强房企全口径销售额3243.3亿元，环比降低43.8%，同比降低37.9%。房企在今年2月的销售业绩创下近几年来单月销售最低记录。不过随着各地售楼部的逐步开放，房企3月份的销售有望逐步回归正常。http://t.cn/A67OGIbO
日常一晌贪欢,肖战海外社交账号已无法正常登陆，任何更改均非本人及工作人员操作，后续动作均与肖战本人无关。请勿侵权！请勿造谣！
江门房天下,:#百强房企#2月销售额环比降逾四成据中证报，疫情出现以来，已有超过60个地区出台涉及楼市调控的相关政策，主要围绕缓解房地产企业资金压力、通过公积金贷款的购房者月供可延缓等。机构数据显示，2月份百强房企单月全口径销售金额3243.3亿元，环比降低43.8%，同比降低37.9%，创下近年来单月销售额最低纪录。
青海省博物馆,:#云游博物馆##文化宅生活图鉴#褐釉剔花缠枝牡丹纹瓷罐西夏互助县丹麻出土高19.2厘米口径18厘米敛口，鼓腹，平底，口部饰弦纹。白胎，褐釉，剔花露胎工艺，主题纹饰为缠枝牡丹。器形规整，工艺娴熟流畅，纹饰美观生动，是西夏瓷中的精品。
我家西皮是萝莉,你们肖战粉丝能不能统一一下思想，不要一边说黑料是p图，一边给我发洗白图了好吗？？你们再看那一群人的考古评论，他们不是你家哥哥的粉丝吗？黑料并不是最近才有的，黑料一直存在，只是你们没看见而已。#不买肖战代言产品##抵制肖战##肖战本人侮辱女性#
兴铭管业,:公司主营产品：法兰式金属软管法兰式金属软管，大口径金属软管的连接形式多为法兰连接，产品多用于输送蒸汽、石油、热水等是低压高温耐酸碱腐蚀的输送管线！本厂专业制造生产各种标准的法兰式金属软管，公司拥有着DN8-850金属软管的整套生产设备，严格生产和检测，保证产品的出厂和使用，法兰式金属软管的性能是，耐酸碱、耐腐蚀、耐高温、柔性好，易弯曲，安装简便实用寿命长，在石油、煤炭、冶金、化工、工程机械、汽车制造等行业得到应用和推广形成:由金属波纹管和构件组成突出作用:补偿管道的热变形、机械变形及吸收各种机械震动，起到降低管道变形应力和提高管道使用寿命的作用用途:多用于动力或热力管网中，设备与设备之间的连接中，以轴向伸缩或角度变化来补偿长管路系统或设备因温差或机械运动造成的位移，消除设备开车、停车或正常运行条件下的振动。同时在电力、石化、供热、钢铁、城建等领域也被广泛使用法兰式金属软管内为波纹管外编织一层或多层钢丝网套形成，两端国标法兰连接，长度根据客户的实际实用定做生产，长度任意生产不限制管体的材质主要是不锈钢的区分，普通不锈钢和304不锈钢316L不锈钢材质均有生产。生产各类金属波纹管不锈钢金属软管、法兰式金属软管（或称：不锈钢耐压软管）、波纹管膨胀节的专业定点厂家。本公司拥有雄厚及专业的技术力量，在波纹管设计及制造方面积累了丰富的经验。1、使用温度:-193℃～460℃2、压力使用:2bar～200bar3、孔径：8mm-850mm4、更多详情欢迎留言咨询！
就很佛的小透明,为什么必须坚持住，如果这场抵制不曾开始也就算了，一旦开始，又不了了之，偶像继续红火赚钱，甚至更上层楼，就代表：举报有用，毫无代价，还能让哥哥走花路，你们不堪一击。
NoSaying888,:面对同一问题我们的站位不同，思想见解也就不同。没有谁能够统一众人思想口径，总有那么几个人是“特别”的！
吃藕少女Fairy,:#肖战ins头像#真笑死我了，🦐们能不能统一好口径再来洗？别还没洗白内部粉丝先打起来了，真有意思，这图够我笑一年
你可以一直十八,#肖战ins头像#我觉得肖战的ins头像变黑在这个时候肯定不会是自己及工作人员更换的，这个我有理由相信。目前看到的肖战工作室的“回应很迅速”并说明了海外的社交账号已经无法正常登录等具体情况，回应非常快这一点值得点赞。这样可以避免一些不理智的粉丝及网友进行各种猜测议论，不要侵权，不要造谣，希望大家做事要三思而后行。
Wren_努力朝,:高等人提倡，虽人分三六九等但要包容。低等人叫嚣，诛异党，统口径。低等人永远也不会明白，这事真的成功之后，他们会活在多么低级乏味的世界里，不过按照低等人的双商来看，他们也只需要低级乏味。
吾邪9911,:#肖战##抵制肖战##肖战粉丝饭圈耻辱#我还在奇怪今天怎么这么多黄泉路人出来统一口径，原来是这样，更恶心了，xz必糊
老吴1969_己酉,:先是要求“统一口径”，昨天美联储又打了张烂牌，降息50个基点，市场预期是不是出大事了?心理慌啊，赶紧跑啊！
离人心上秋愁,:飞利浦新安怡玻璃奶瓶新生儿宝宝原装进口宽口径防胀气对装奶瓶飞利浦新安怡玻璃奶瓶新生儿宝宝原装进口宽口径防胀气对装奶瓶
Blossom_Zaoldyeck,本来准备剪一段！发现了这些话，算了不剪了！
有钱有健康有男人的Fairy欧雀,#肖战ins头像##肖战ins#最亲爱的去世，谁都会非常难过吧，何况还是自己外公！肖战微博已经不敢发声了，而且还不知道是不是ins系统问题。希望大家多多理解下亲人去世的伤痛。。哪怕再多问题，也抵不过亲人啊！
骨董行,:钧釉双耳三足炉（蒙元时代）高18.5、口径14.6、腹径17厘米。1958年山西省大同市宋家庄至元二年（1265年）冯道真墓出土。直口，平折沿，直颈，扁鼓腹，长方形镂空双立耳，耳内一螭形饰与颈腹相连，三矮曲形蹄足。通体施月白色釉，釉层肥厚，底足有积釉。器形圆浑，胎体厚重，是山西著名的浑源窑产品。山西博物院藏#约会博物馆##文物#
慧眼财经团队,:【慧眼闪电财讯】百强房企2月销售额环比降逾四成。据中证报，疫情出现以来，已有超过60个地区出台涉及楼市调控的相关政策，主要围绕缓解房地产企业资金压力、通过公积金贷款的购房者月供可延缓等。机构数据显示，2月份百强房企单月全口径销售金额3243.3亿元，环比降低43.8%，同比降低37.9%，创下近年来单月销售额最低纪录。#房企#
Ricky211211,#知识星球精选#抢鲜看@知识星球
宝鸡金石,:圆口方尊—殷墟中、晚期(13th-11thC.BC)，高44.9cm口径43.5cm大口、圆脰、方形腹、方形足。此方圆共现一器形制极特别。脰饰弦纹，肩上夔纹正装饰在形制上由圆到方的转折中，因此纹饰单位形成不规整的上圆下方的四方形。腹部饰兽面纹，兽鼻犹如蛇首，有鼓起的双眼，罕见于安阳。方形腹的四个角落鸟纹为高浮雕。全器四面腹部蛇首形鼻兽面纹的蛇首鼻亦采高浮雕手法，内里呈凹陷。肩部立雕兽首与器身有铸接痕，可能是二次铸造。
图丁马扎,:台北故宫博物院藏明永乐青花一把莲盘高6.3公分深5.4公分口径33公分足径24.2公分口微侈，浅弧壁，矮圈足。内外壁各画转枝花卉纹，内壁有菊、莲、栀子、石榴、芍药、芙蓉、茶花等十三朵，外壁则有类似花卉十四朵，器心主纹把莲一束，口沿下饰波涛文一周，上下青线六道。外壁口沿下画卷草一周，底边回纹，纹饰间加饰青线。青花发色浓艳，多处有黑褐疵斑，胎骨较厚、底露白胎，圈足与垫饼接触处泛黄，并有大小铁质斑点。
皮皮仔家滴劳伦,#张家港[超话]#来看一下减配车#奔驰#@小刚学长噢，有理有据哦张家港大小事的微博视频
红尘匆匆壹过客,:【今日世界瞭望】独立思想：无耻的美国政府要求疫情发布“统一口径”？要控制言论？无耻的美国政府要求疫情发布“统一口径”？要控制言论？
孙晓晨Sunxiaochen,小恶魔的无反相机24(28)-70mmf/2.8横评已经上线，能看的可以去看了……
Milk_Nougat,#张家港[超话]#来看一下减配车#奔驰#@小刚学长噢，有理有据哦张家港大小事的微博视频
小成哥哥信号弱,不知道为什么，我刚才发了条针对@凤凰网娱乐的#十问肖战#问题进行回答的微博，发出之后就遭到屏蔽，我不知道是什么原因，只能以图片重新发出，如果能看到，请保存图片，因为我不确定什么时候又被屏蔽。#十答凤凰网#
AYSEg9c,#军事集结号#前苏联DShK38大口径机枪，战斗民族的装备，妥妥的大杀器军迷club的微博视频
军迷club,:#军事集结号#前苏联DShK38大口径机枪，战斗民族的装备，妥妥的大杀器军迷club的微博视频
长征五号甲,本来准备剪一段！发现了这些话，算了不剪了！
南芳以西,:@广东省人民政府门户网站@广东新闻联播投诉无门，这两天打了几十通电话，跑了好几个地方，踢皮球式对待。关于清远市无一处可办健康申报证明，他们统一口径“不关他们的事，他们不管”耽误了本人返工时间不说，连卫健局部门都转了3个电话也说这事不是他们管，连12345通完话也没声音了。http://t.cn/RyhTOfx
Arenix枯叶,本来准备剪一段！发现了这些话，算了不剪了！
XYZ_安,:满屏都是开发票，让我觉得我没下班。看评论满脑子都是，不是，不对，这个对了一半，那个要知道公司是按什么口径报税的。以及这些公司的税务人员，这个月要累死了吧，人在家中坐，锅从天上来。
海上快递员,本来准备剪一段！发现了这些话，算了不剪了！
品珍古玩,:隋巩县窑白釉深腹杯。口径12.9厘米。纽约佳士得2001年10月16日THEFALKCOLLECTIONI:FINECHINESECERAMICS&WORKSOFART来源：卢芹斋，1949/12，纽约出版：H.芒斯特伯格，《中国艺术》，1972年，编号63南京·夫子庙灯会
